customer_id,calls,avg_trust_score,min_trust_score,max_trust_score,trust_score_std,avg_outcome_risk,avg_proxy_gap,distinct_scenarios,any_repeat_30d,repeat_30d_rate,avg_churn_risk,is_churned,min_trust_baseline,first_call,last_call
C0005495,36,68.60388888888889,30.1,98.66,21.618809968276334,0.3375,0.5277777777777778,5,1,0.1111111111111111,0.28792927777777777,1,85.883274,2025-01-13,2025-10-28
C0000350,34,71.65205882352942,38.91,98.57,17.893729184204368,0.4411764705882353,0.5,5,1,0.3235294117647059,0.3386278529411765,0,68.612073,2025-02-08,2025-12-26
C0008897,34,76.78764705882352,34.92,98.87,21.15825579378636,0.2867647058823529,0.4117647058823529,7,1,0.11764705882352941,0.4193276176470588,0,63.237965,2025-02-14,2025-12-29
C0006838,33,68.91121212121213,23.74,99.04,24.508635309515874,0.3090909090909091,0.5454545454545454,5,1,0.12121212121212122,0.3458309696969697,0,82.509189,2025-01-10,2025-12-27
C0009219,32,68.2940625,33.01,99.02,20.586662274610493,0.3578125,0.65625,5,1,0.1875,0.34504606250000003,0,76.604342,2025-01-14,2025-12-25
C0001910,32,71.84375,29.97,99.38,22.90687342262143,0.3171875,0.53125,6,1,0.1875,0.32754640625,0,60.588937,2025-02-10,2025-12-09
C0005927,32,76.7615625,38.74,98.89,20.846474461640717,0.3234375,0.40625,7,1,0.21875,0.3235391875,0,61.76679,2025-01-13,2025-11-29
C0004282,32,76.9096875,27.25,98.97,22.50036436756941,0.26718749999999997,0.34375,5,1,0.125,0.14750565625,0,76.103393,2025-01-02,2025-12-19
C0009942,32,77.286875,28.83,99.0,20.366391264658578,0.33125,0.34375,7,1,0.28125,0.284009875,0,49.502817,2025-02-06,2025-12-26
C0003119,32,79.7571875,31.88,99.06,22.14067636498925,0.23124999999999998,0.28125,7,1,0.125,0.329461,0,67.114993,2025-01-06,2025-12-20
C0006431,31,79.1183870967742,35.11,99.11,21.408445389109755,0.2887096774193548,0.3225806451612903,6,1,0.3225806451612903,0.5331191290322581,1,71.950607,2025-02-03,2025-12-14
C0001711,30,64.19533333333334,29.97,98.7,24.075826584919703,0.35333333333333333,0.6,6,1,0.13333333333333333,0.43853719999999996,0,67.70102,2025-02-06,2025-11-23
C0002698,30,71.99066666666666,48.62,98.83,18.558643665759725,0.31666666666666665,0.5666666666666667,4,1,0.13333333333333333,0.41367319999999996,0,51.862797,2025-01-26,2025-11-09
